altitud,dirRachMax,indicativo,indsinop,latitud,maxDiasMesNieve,longitud,maxDiasMesPrec,maxDiasMesTormenta,nombre,precMaxDia,precMaxMen,provincia,rachMax,temMax,temMedAlta,temMedBaja,temMin,TempMed,ubicacion
1,880,9987P,8240,404157N,,004836E,,,SANT JAUME D'ENVEJA,1256,3221,TARRAGONA,139,349,267,83,0,175,TARRAGONA
2,230,5973,8452,362959N,0,061528W,25,6,CÁDIZ,1550,4598,CADIZ,146,430,278,91,-10,184.5,CADIZ
3,280,6205X,8484,364335N,,035726W,,,TORROX,1061,2054,MALAGA,96,370,273,117,17,195,MALAGA
3,300,6293X,8492,364113N,0,024206W,2,2,ROQUETAS DE MAR,722,1486,ALMERIA,125,376,267,96,-8,181.5,ALMERIA
3,320,1208,,433220N,8,053815W,29,9,GIJÓN,1496,3591,ASTURIAS,150,364,209,66,-48,137.5,ASTURIAS
3,320,4549Y,8381,371141N,,072342W,,,AYAMONTE,860,2346,HUELVA,86,417,269,98,-4,183.5,HUELVA
3,340,1109,8021,432526N,9,034932W,28,8,SANTANDER AEROPUERTO,1344,4901,CANTABRIA,167,376,232,40,-54,136,CANTABRIA
3,360,B228,8301,393319N,5,023731E,21,8,"PALMA, PUERTO",1243,2518,ILLES BALEARS,117,380,294,85,-1,189.5,ILLES BALEAR
4,300,1014A,8029,432125N,4,014732W,27,6,SAN SEBASTIÁN AEROPUERTO,1310,5779,GIPUZKOA,104,400,235,43,-63,139,GIPUZKOA
4,320,0076,8181,411734N,2,020412E,20,12,BARCELONA AEROPUERTO,1867,5008,BARCELONA,139,374,278,45,-80,161.5,BARCELONA
4,320,1014,8029,432125N,5,014732W,27,8,"HONDARRIBIA, MALKARROA",2140,5480,GIPUZKOA,154,404,249,6,-130,127.5,GIPUZKOA
4,320,7031X,8433,374642N,1,004821W,20,5,SAN JAVIER AEROPUERTO,2052,2496,MURCIA,104,394,283,92,-13,187.5,MURCIA
4,360,7031,8433,374720N,2,004812W,20,10,SAN JAVIER AEROPUERTO,3300,3362,MURCIA,134,405,275,71,-54,173,MURCIA
5,,1208H,8014,433336N,2,054203W,27,10,"GIJÓN, PUERTO",865,3829,ASTURIAS,,324,220,84,-5,152,ASTURIAS
5,880,8058X,8282,385544N,,000545W,,,OLIVA,1838,3526,VALENCIA,114,410,282,89,-17,185.5,VALENCIA
6,300,C689E,60037,274409N,,153545W,,,MASPALOMAS,672,946,LAS PALMAS,134,426,250,167,107,208.5,LAS PALMAS
6,340,0201D,8180,412326N,,021200E,,,BARCELONA,1126,2064,BARCELONA,116,359,271,86,-13,178.5,BARCELONA
