indicativo,ubicacion,nombre,temMin,temMax,temMedAlta,temMedBaja,media
0002I,TARRAGONA,VANDELLÒS,-1.2,39.5,27.5,0.3,13.9
0016A,TARRAGONA,REUS AEROPUERTO,-4,39.8,27.1,0.3,13.700000000000001
0076,BARCELONA,BARCELONA AEROPUERTO,-1.4,37.4,27.8,0.3,14.05
0149X,BARCELONA,MANRESA,-1.2,42.4,9.6,0.2,4.8999999999999995
0200E,BARCELONA,"BARCELONA, FABRA",-10,39.8,28.5,0.3,14.4
0201D,BARCELONA,BARCELONA,-1.3,35.9,27.1,0.3,13.700000000000001
0229I,BARCELONA,SABADELL AEROPUERTO,-1,45,26.9,0,13.45
0252D,BARCELONA,ARENYS DE MAR,-1.1,37.3,26.5,0.3,13.4
0255B,BARCELONA,SANTA SUSANNA,-2.1,36.2,24.5,0.2,12.35
0324A,GIRONA,RIPOLL,-10.2,40.6,8.7,0,4.35
0367,GIRONA,GIRONA AEROPUERTO,-13,43,9.6,0,4.8
0370B,GIRONA,"GIRONA, ANTIC INSTITUT",-1,39.7,26.3,0.3,13.3
0372C,GIRONA,PORQUERES,-3.1,40.9,9.9,0,4.95
1002Y,NAVARRA,"BAZTAN, IRURITA",-11.6,38.8,9.4,0.3,4.8500000000000005
1014,GIPUZKOA,"HONDARRIBIA, MALKARROA",-1.2,40.4,24.9,0,12.45
1014A,GIPUZKOA,SAN SEBASTIÁN AEROPUERTO,-1.8,40,23.5,0,11.75
1024E,GIPUZKOA,"DONOSTIA/SAN SEBASTIÁN, IGUELD",-10,39,22.7,0,11.35
1037Y,GIPUZKOA,ZUMARRAGA,-1,39.7,9.8,0.3,5.050000000000001
1041A,GIPUZKOA,ZUMAIA,-1.7,39.6,23.7,0.3,12
1050J,GIPUZKOA,ELGOIBAR,-4.3,39.8,23.1,0.3,11.700000000000001
1055B,BIZKAIA,LEKEITIO,-1.1,37.4,23.2,0.3,11.75
1057B,BIZKAIA,MACHICHACO,-2,33.8,8.8,0.3,4.550000000000001
1059X,BIZKAIA,PUNTA GALEA,-1.7,38.7,21.6,0.3,10.950000000000001
1078I,BIZKAIA,GÜEÑES,-1,41,9.9,0,4.95
1082,BIZKAIA,BILBAO AEROPUERTO,-1.2,42,24.8,0,12.4
1083L,CANTABRIA,CASTRO URDIALES,-1.7,38,21.1,0,10.55
